OriginalName,NewName
ETHYLIDENE DICHLORIDE,"1,1-DICHLOROETHANE"
VINYLIDENE CHLORIDE,"1,1-DICHLOROETHYLENE"
"1,2,3-TRICHLOROPROPANE","1,2,3-TRICHLOROPROPANE"
"1,2-DICHLOROBENZENE","1,2-DICHLOROBENZENE"
"1,2-DICHLOROETHYLENE","1,2-DICHLOROETHYLENE"
"1,4-DICHLORO-2-BUTENE","1,4-DICHLORO-2-BUTENE"
"1,4-DICHLOROBENZENE","1,4-dichlorobenzene"
P-DINITROBENZENE,"1,4-dinitrobenzene"
"1,4-DIOXANE","1,4-dioxane"
N-METHYL-2-PYRROLIDONE,1-Methyl-2-pyrrolidinone
TETRABROMOBISPHENOL A,"2,2-BIS(4-HYDROXY-3,5-DIBROMOPHENYL)PROPANE"
DIISOCYANATES,"2,4/2,6-toluenediisocyanate (mixture)"
"TOLUENE-2,6-DIISOCYANATE","2,4/2,6-toluenediisocyanate (mixture)"
"2,4-D","2,4-D"
"2,4-D 2-ETHYLHEXYL ESTER","2,4-D, 2-ETHYLHEXYL ESTER"
"2,4-DINITROPHENOL","2,4-DINITROPHENOL"
"2-CHLORO-1,1,1-TRIFLUOROETHANE","2-Chloro-1,1,1-trifluoroethane"
CHLOROPHENOLS,2-chlorophenol
2-MERCAPTOBENZOTHIAZOLE,2-Mercaptobenzothiazole
2-METHOXYETHANOL,2-METHOXYETHANOL
2-NITROPHENOL,2-Nitrophenol
2-NITROPROPANE,2-NITROPROPANE
2-PHENYLPHENOL,2-PHENYLPHENOL
"4,4'-METHYLENEDIANILINE","4,4'-METHYLENEDIANILINE"
P-CHLOROANILINE,4-CHLOROANILINE
METHYL ISOBUTYL KETONE,4-Methyl-2-pentanone
4-NITROPHENOL,4-NITROPHENOL
DIPOTASSIUM ENDOTHALL,"7-OXABICYCLO[2,2,1]HEPTANE-2,3-DICARBOXYLIC ACID, DIPOTASSIUM SALT"
ACETALDEHYDE,acetaldehyde
ACETAMIDE,Acetamide
ACETONITRILE,Acetonitrile
ACETOPHENONE,Acetophenone
ACROLEIN,Acrolein
ACRYLAMIDE,ACRYLAMIDE
ACRYLIC ACID,Acrylic acid
ACRYLONITRILE,Acrylonitrile
ALACHLOR,Alachlor
ALLYL ALCOHOL,ALLYL ALCOHOL
ALLYL CHLORIDE,ALLYL CHLORIDE
ALUMINUM OXIDE (FIBROUS FORMS),ALUMINUM OXIDE
AMETRYN,Ametryn
AMMONIA,ammonia
ANILINE,Aniline
ANTHRACENE,Anthracene
ANTIMONY,antimony
